,praise_comment
49,前半段是高质量的好莱坞爆米花，不过是动作和特效的刺激，开始怀疑刷口碑。结果海沟国之后全程开挂！那画风、那色彩和运镜，碾压十个扎克·施耐德！角色和感情真正的带入，风格完全不是DC，类似但也不是漫威，那是温子仁，温神牛逼！
50,"海王超震撼
绝对值回票价
温子仁
真的很牛！陆海生态、雅典城邦、圆桌骑士、亚瑟传奇，对了还有《黑豹》吃的很透
看了彩蛋，推荐去看《为奴十二年》
电影本身结局也很治愈 "
51,这片要是坐在寝室的电脑前看，观感必然大打折扣。当置身于IMAX厅，外加座椅有震感效果，此等视觉奇观是无与伦比的美丽，回忆起当年看到《阿凡达》的震撼与感动，一度想哭，这曾是我喜欢走进影院观影的初衷。除此之外，温子仁对于节奏的把控和镜头的调度真是高手，哪怕剧情马虎，却依旧让人看得过瘾。
52,奥姆对陆地人开战师出有名，有站得住脚的立场和道理，并非为满足个人征服欲和权力欲望，即使有私欲，不是纯粹为反抗陆地人，那私欲也是为让“亚特兰蒂斯再度复兴”。亚瑟作为对王位有继承权的野种，奥姆非但没斩草除根，即便亚瑟当面来反对和阻碍他了，他依然想给半兄长一条生路，劝说他置身事外，比起许多东西方王室内斗故事里的龌龊狠毒，他可谓光明磊落了。无论是国王挑战还是最后海面决战，他都很实诚地凭自身真实实力在打，没有搞阴谋偷袭之类卑鄙伎俩，反而是亚瑟凭借黄金三叉戟才能击败他，而一旦落败，他也便立刻承认了失败，并没有试图用不堪手段翻盘。他出战总是亲临战场身先士卒，是战斗型国王，武力值在海里是一等一的。他的臣属并没有对他不忠。比起超英片里大多数简单粗暴中二病反派，或莫名其妙为反而反的反派，奥姆是有层次并且合理的。
53,好好看哦，爽死了，怎么拍得这么二次元，海底世界那几个国家做得像迪士尼动画一样超绝绚丽又各有特色，整个故事也像迪士尼一样温馨，女主角甚至有一头小美人鱼爱丽儿般的绝美红色长发，最后那场海底战争更是做得爆炸好看，不过挨打的都是鲨鱼鳄鱼海马和雪蟹，好可怜，请狗逼海底人不要打鲨鲨好么！海底人也太不爱护动物了！我要再去看一遍，视觉狗的飨宴！香！
54,今年最瑰丽的视觉奇观、最燃的群战、最浪漫的吻、最孤独的海怪都在这里了。
55,轻轻松松、啪啪砰砰，这样的超级英雄电影不挺好？温子仁真DC良心大管家——从头到尾堆特效，经费才烧1.6亿！欣赏不来海王徐锦江，51岁的妮可真的美炸了~~~~~
56,跟小动物讲话，带领小动物们打败坏蛋这不是辛德瑞拉的技能吗！为什么出现在一个壮汉身上啊！大型小公主，可爱可爱。
57,"惊呆了！！！完完全全没想到温子仁居然拍了这样一部电影，闯关游戏混合特摄风格、宏大场面混合爽快打斗、公路夺宝混合王位纷争、街机电音混合史诗配乐，精彩的动作长镜头和温氏旋转镜头以及堪称惊艳的美术与特效，部分场景的画面构图直接惊呆我，再配合超过全片90％的IMAX全画幅，绝不仅仅只是一部普通的超级英雄电影，难得拥有的观影体验。
主演全员大长腿，妮可和艾梅波美丽到冒泡，男演员们集体帅到犯规，再加上个人特色极其突出的温大导和全程抢戏的配乐，堪称年度最具魅力剧组。
本片虽然达不到影史最强超英电影的程度，但对于DC甚至整个超英电影的未来都是一次极其重要的实验性尝试，海王绝对意义非凡！"
58,海底版《阿凡达》+《星球大战》，出现了目前为止最符合超英电影主题的一句台词：国王为自己的国家而战，而英雄为所有人而战。
